Player Name,Team,Goals,Assists,Played,Total Shots
Mohamed Salah,Liverpool,27,17,29,106
E. Haaland,Man City,21,3,28,102
A. Isak,Newcastle,19,5,25,69
C. Wood,Nottm Forest,18,3,29,53
B. Mbeumo,Brentford,15,5,29,62
C. Palmer,Chelsea,14,6,28,102
Y. Wissa,Brentford,14,2,26,63
O. Watkins,Aston Villa,13,6,29,72
Matheus Cunha,Wolves,13,4,26,86
J. Kluivert,Bournemouth,12,6,28,56
J. Mateta,Crystal Palace,12,2,27,54
R. JimÃ©nez,Fulham,10,3,29,77
L. Delap,Ipswich,10,2,28,58
J. Maddison,Tottenham,9,5,27,37
N. Jackson,Chelsea,9,5,23,63
L. DÃ­az,Liverpool,9,4,28,54
K. Havertz,Arsenal,9,3,21,52
B. Johnson,Tottenham,9,2,26,49
J. Strand Larsen,Wolves,9,2,27,39
Bruno Fernandes,Man Utd,8,9,28,75
JoÃ£o Pedro,Brighton,8,6,23,42
C. Gakpo,Liverpool,8,3,26,44
Son Heung-Min,Tottenham,7,9,26,52
J. Bowen,West Ham,7,5,25,65
D. Welbeck,Brighton,7,4,22,42
D. Ouattara,Bournemouth,7,4,26,48
D. Kulusevski,Tottenham,7,4,27,43
M. Rogers,Aston Villa,7,4,28,45
A. Iwobi,Fulham,7,4,29,53
A. Semenyo,Bournemouth,7,4,28,101
N. Madueke,Chelsea,7,3,23,64
D. Solanke,Tottenham,7,3,20,52
I. Sarr,Crystal Palace,7,3,28,43
J. Vardy,Leicester,7,3,27,47
K. Mitoma,Brighton,7,3,29,47
K. Schade,Brentford,7,2,29,40
P. Foden,Man City,7,2,24,50
T. SouÄek,West Ham,7,1,27,44
J. DurÃ¡n,Aston Villa,7,0,20,31
